"gruppe","gruppe_id","analyt","analyt_id","kategorie","kategorie_sortierung","einheit","farbcode","start_datum","end_datum","bemerkung"
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R471811",1,"<0.1",1,"µg/l","#64c800","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R471811",1,"0.1 - <0.4",2,"µg/l","#ffe600","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R471811",1,"0.4 - <0.7",3,"µg/l","#ffb300","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R471811",1,"0.7 - <1.0",4,"µg/l","#ff8400","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R471811",1,"≥1.0",5,"µg/l","#ff5100","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R417888 (Sulfonsäure)",2,"<0.1",1,"µg/l","#64c800","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R417888 (Sulfonsäure)",2,"0.1 - <0.4",2,"µg/l","#ffe600","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R417888 (Sulfonsäure)",2,"0.4 - <0.7",3,"µg/l","#ffb300","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R417888 (Sulfonsäure)",2,"0.7 - <1.0",4,"µg/l","#ff8400","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Chlorothalonil R417888 (Sulfonsäure)",2,"≥1.0",5,"µg/l","#ff5100","01.01.2020",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-S",4,"<0.1",1,"µg/l","#64c800","16.12.2016",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-S",4,"0.1 - <0.4",2,"µg/l","#ffe600","16.12.2016",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-S",4,"0.4 - <0.7",3,"µg/l","#ffb300","16.12.2016",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-S",4,"0.7 - <1.0",4,"µg/l","#ff8400","16.12.2016",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-S",4,"≥1.0",5,"µg/l","#ff5100","16.12.2016",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-ESA",5,"<0.1",1,"µg/l","#64c800","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-ESA",5,"0.1 - <0.4",2,"µg/l","#ffe600","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-ESA",5,"0.4 - <0.7",3,"µg/l","#ffb300","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-ESA",5,"0.7 - <1.0",4,"µg/l","#ff8400","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-ESA",5,"≥1.0",5,"µg/l","#ff5100","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-OXA",6,"<0.1",1,"µg/l","#64c800","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-OXA",6,"0.1 - <0.4",2,"µg/l","#ffe600","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-OXA",6,"0.4 - <0.7",3,"µg/l","#ffb300","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-OXA",6,"0.7 - <1.0",4,"µg/l","#ff8400","30.09.2024",NA,NA
"Pestizide und deren Abbauprodukte",4,"Metolachlor-OXA",6,"≥1.0",5,"µg/l","#ff5100","30.09.2024",NA,NA
